,EXP_ID,GROUP_ID,INDIVIDUAL_ID,COMPOUND_NAME,COMPOUND_ABBREVIATION,COMPOUND_NO,SINGLE_REPEAT_TYPE,ADMINISTRATION_ROUTE_TYPE,SACRIFICE_PERIOD,DOSE,DOSE_UNIT,DOSE_LEVEL
3017644018,40,1,1,acetaminophen,APAP,00001,Single,Gavage,3 hr,0,mg/kg,Control
3017644019,40,1,3,acetaminophen,APAP,00001,Single,Gavage,3 hr,0,mg/kg,Control
3017644020,40,1,5,acetaminophen,APAP,00001,Single,Gavage,3 hr,0,mg/kg,Control
3017644030,40,2,1,acetaminophen,APAP,00001,Single,Gavage,6 hr,0,mg/kg,Control
3017645001,40,2,4,acetaminophen,APAP,00001,Single,Gavage,6 hr,0,mg/kg,Control
3017645002,40,2,5,acetaminophen,APAP,00001,Single,Gavage,6 hr,0,mg/kg,Control
3017645012,40,3,2,acetaminophen,APAP,00001,Single,Gavage,9 hr,0,mg/kg,Control
3017645013,40,3,4,acetaminophen,APAP,00001,Single,Gavage,9 hr,0,mg/kg,Control
3017645014,40,3,5,acetaminophen,APAP,00001,Single,Gavage,9 hr,0,mg/kg,Control
3017645024,40,4,2,acetaminophen,APAP,00001,Single,Gavage,24 hr,0,mg/kg,Control
3017645025,40,4,3,acetaminophen,APAP,00001,Single,Gavage,24 hr,0,mg/kg,Control
3017645026,40,4,4,acetaminophen,APAP,00001,Single,Gavage,24 hr,0,mg/kg,Control
3017644021,40,11,1,acetaminophen,APAP,00001,Single,Gavage,3 hr,300,mg/kg,Low
3017644022,40,11,2,acetaminophen,APAP,00001,Single,Gavage,3 hr,300,mg/kg,Low
3017644023,40,11,4,acetaminophen,APAP,00001,Single,Gavage,3 hr,300,mg/kg,Low
3017645003,40,12,1,acetaminophen,APAP,00001,Single,Gavage,6 hr,300,mg/kg,Low
3017645004,40,12,2,acetaminophen,APAP,00001,Single,Gavage,6 hr,300,mg/kg,Low
3017645005,40,12,5,acetaminophen,APAP,00001,Single,Gavage,6 hr,300,mg/kg,Low
3017645015,40,13,2,acetaminophen,APAP,00001,Single,Gavage,9 hr,300,mg/kg,Low
3017645016,40,13,3,acetaminophen,APAP,00001,Single,Gavage,9 hr,300,mg/kg,Low
3017645017,40,13,4,acetaminophen,APAP,00001,Single,Gavage,9 hr,300,mg/kg,Low
3017645027,40,14,1,acetaminophen,APAP,00001,Single,Gavage,24 hr,300,mg/kg,Low
3017645028,40,14,4,acetaminophen,APAP,00001,Single,Gavage,24 hr,300,mg/kg,Low
3017645029,40,14,5,acetaminophen,APAP,00001,Single,Gavage,24 hr,300,mg/kg,Low
3017644024,40,16,1,acetaminophen,APAP,00001,Single,Gavage,3 hr,600,mg/kg,Middle
3017644025,40,16,2,acetaminophen,APAP,00001,Single,Gavage,3 hr,600,mg/kg,Middle
3017644026,40,16,3,acetaminophen,APAP,00001,Single,Gavage,3 hr,600,mg/kg,Middle
3017645006,40,17,1,acetaminophen,APAP,00001,Single,Gavage,6 hr,600,mg/kg,Middle
3017645007,40,17,2,acetaminophen,APAP,00001,Single,Gavage,6 hr,600,mg/kg,Middle
3017645008,40,17,4,acetaminophen,APAP,00001,Single,Gavage,6 hr,600,mg/kg,Middle
3017645018,40,18,1,acetaminophen,APAP,00001,Single,Gavage,9 hr,600,mg/kg,Middle
3017645019,40,18,3,acetaminophen,APAP,00001,Single,Gavage,9 hr,600,mg/kg,Middle
3017645020,40,18,5,acetaminophen,APAP,00001,Single,Gavage,9 hr,600,mg/kg,Middle
3017645030,40,19,1,acetaminophen,APAP,00001,Single,Gavage,24 hr,600,mg/kg,Middle
3017646001,40,19,3,acetaminophen,APAP,00001,Single,Gavage,24 hr,600,mg/kg,Middle
3017646002,40,19,5,acetaminophen,APAP,00001,Single,Gavage,24 hr,600,mg/kg,Middle
3017644027,40,21,2,acetaminophen,APAP,00001,Single,Gavage,3 hr,1000,mg/kg,High
3017644028,40,21,4,acetaminophen,APAP,00001,Single,Gavage,3 hr,1000,mg/kg,High
3017644029,40,21,5,acetaminophen,APAP,00001,Single,Gavage,3 hr,1000,mg/kg,High
3017645009,40,22,1,acetaminophen,APAP,00001,Single,Gavage,6 hr,1000,mg/kg,High
3017645010,40,22,2,acetaminophen,APAP,00001,Single,Gavage,6 hr,1000,mg/kg,High
3017645011,40,22,3,acetaminophen,APAP,00001,Single,Gavage,6 hr,1000,mg/kg,High
3017645021,40,23,1,acetaminophen,APAP,00001,Single,Gavage,9 hr,1000,mg/kg,High
3017645022,40,23,4,acetaminophen,APAP,00001,Single,Gavage,9 hr,1000,mg/kg,High
3017645023,40,23,5,acetaminophen,APAP,00001,Single,Gavage,9 hr,1000,mg/kg,High
3017646003,40,24,2,acetaminophen,APAP,00001,Single,Gavage,24 hr,1000,mg/kg,High
3017646004,40,24,4,acetaminophen,APAP,00001,Single,Gavage,24 hr,1000,mg/kg,High
3017646005,40,24,5,acetaminophen,APAP,00001,Single,Gavage,24 hr,1000,mg/kg,High
3017642030,42,1,1,acetaminophen,APAP,00001,Repeat,Gavage,4 day,0,mg/kg,Control
3017643001,42,1,4,acetaminophen,APAP,00001,Repeat,Gavage,4 day,0,mg/kg,Control
3017643002,42,1,5,acetaminophen,APAP,00001,Repeat,Gavage,4 day,0,mg/kg,Control
3017643012,42,2,1,acetaminophen,APAP,00001,Repeat,Gavage,8 day,0,mg/kg,Control
3017643013,42,2,3,acetaminophen,APAP,00001,Repeat,Gavage,8 day,0,mg/kg,Control
3017643014,42,2,5,acetaminophen,APAP,00001,Repeat,Gavage,8 day,0,mg/kg,Control
3017643024,42,3,2,acetaminophen,APAP,00001,Repeat,Gavage,15 day,0,mg/kg,Control
3017643025,42,3,3,acetaminophen,APAP,00001,Repeat,Gavage,15 day,0,mg/kg,Control
3017643026,42,3,5,acetaminophen,APAP,00001,Repeat,Gavage,15 day,0,mg/kg,Control
3017644006,42,4,1,acetaminophen,APAP,00001,Repeat,Gavage,29 day,0,mg/kg,Control
3017644007,42,4,2,acetaminophen,APAP,00001,Repeat,Gavage,29 day,0,mg/kg,Control
3017644008,42,4,4,acetaminophen,APAP,00001,Repeat,Gavage,29 day,0,mg/kg,Control
3017643003,42,9,1,acetaminophen,APAP,00001,Repeat,Gavage,4 day,300,mg/kg,Low
3017643004,42,9,2,acetaminophen,APAP,00001,Repeat,Gavage,4 day,300,mg/kg,Low
3017643005,42,9,4,acetaminophen,APAP,00001,Repeat,Gavage,4 day,300,mg/kg,Low
3017643015,42,10,1,acetaminophen,APAP,00001,Repeat,Gavage,8 day,300,mg/kg,Low
